,precision,recall,f1-score,support
fake,0.9992841803865425,0.9971428571428571,0.9982123703968537,1400.0
true,0.9971489665003563,0.9992857142857143,0.9982161969318587,1400.0
accuracy,0.9982142857142857,0.9982142857142857,0.9982142857142857,0.9982142857142857
macro avg,0.9982165734434494,0.9982142857142857,0.9982142836643562,2800.0
weighted avg,0.9982165734434495,0.9982142857142857,0.9982142836643562,2800.0
