,precision,recall,f1-score,support
fake,0.953604568165596,0.9542857142857143,0.9539450196358443,1400.0
true,0.954253037884203,0.9535714285714286,0.9539121114683816,1400.0
accuracy,0.9539285714285715,0.9539285714285715,0.9539285714285715,0.9539285714285715
macro avg,0.9539288030248996,0.9539285714285715,0.953928565552113,2800.0
weighted avg,0.9539288030248996,0.9539285714285715,0.953928565552113,2800.0
