model,selected_params,validation_f1,accuracy,precision,recall,f1_score
Linear SVM,C=2.0,0.9977728285077951,0.9982142857142857,0.9971489665003563,0.9992857142857143,0.9982161969318587
Logistic Regression,C=2.0,0.9928888888888889,0.9942857142857143,0.9914772727272727,0.9971428571428571,0.9943019943019943
Naive Bayes,alpha=0.5,0.9428571428571428,0.9539285714285715,0.954253037884203,0.9535714285714286,0.9539121114683816
